epoch,accuracy,loss,val_accuracy,val_loss
0,0.9463132619857788,0.1628495156764984,0.9847095012664795,0.05511142313480377
1,0.9911654591560364,0.02617439441382885,0.9816513657569885,0.04632524773478508
2,0.9979612827301025,0.007111862767487764,0.9816513657569885,0.05522288754582405
3,0.9989806413650513,0.003390001831576228,0.9724770784378052,0.07811524718999863
4,1.0,0.00036938785342499614,0.9785932898521423,0.09028196334838867
0,0.9303351044654846,0.17568756639957428,0.9642857313156128,0.06461792439222336
1,0.9902998208999634,0.029865503311157227,0.9801587462425232,0.06046648696064949
2,0.9986772537231445,0.0046248300932347775,0.9801587462425232,0.059337180107831955
3,1.0,0.00039861188270151615,0.9801587462425232,0.06887269765138626
4,0.9991181492805481,0.0012781115947291255,0.9801587462425232,0.07632118463516235
0,0.9263296723365784,0.1826181560754776,0.9643917083740234,0.12431224435567856
1,0.9914106130599976,0.02478042244911194,0.9821958541870117,0.07096879184246063
2,0.9986785650253296,0.005068485159426928,0.9851632118225098,0.09830205142498016
3,0.9993392825126648,0.0024637558963149786,0.9614243507385254,0.11750338226556778
4,0.99966961145401,0.0015796960797160864,0.9821958541870117,0.09847337752580643
0,0.9329369068145752,0.17701780796051025,0.9732937812805176,0.0719509944319725
1,0.9920713305473328,0.027194129303097725,0.9792284965515137,0.08914065361022949
2,0.9986785650253296,0.006777930539101362,0.9792284965515137,0.053393326699733734
3,0.9993392825126648,0.0024154731072485447,0.9821958541870117,0.11712323874235153
4,0.9993392825126648,0.002885565860196948,0.9792284965515137,0.07348890602588654
